"spkid","full_name"
20000433,"   433 Eros (A898 PA)"
20000719,"   719 Albert (A911 TB)"
20000887,"   887 Alinda (A918 AA)"
20001036,"  1036 Ganymed (A924 UB)"
20001221,"  1221 Amor (1932 EA1)"
20001566,"  1566 Icarus (1949 MA)"
20001580,"  1580 Betulia (1950 KA)"
20001620,"  1620 Geographos (1951 RA)"
20001627,"  1627 Ivar (1929 SH)"
20001685,"  1685 Toro (1948 OA)"
20001862,"  1862 Apollo (1932 HA)"
20001863,"  1863 Antinous (1948 EA)"
20001864,"  1864 Daedalus (1971 FA)"
20001865,"  1865 Cerberus (1971 UA)"
20001866,"  1866 Sisyphus (1972 XA)"
20001915,"  1915 Quetzalcoatl (1953 EA)"
20001916,"  1916 Boreas (1953 RA)"
20001917,"  1917 Cuyo (1968 AA)"
20001943,"  1943 Anteros (1973 EC)"
20001980,"  1980 Tezcatlipoca (1950 LA)"
20001981,"  1981 Midas (1973 EA)"
20002059,"  2059 Baboquivari (1963 UA)"
20002061,"  2061 Anza (1960 UA)"
20002062,"  2062 Aten (1976 AA)"
20002063,"  2063 Bacchus (1977 HB)"
20002100,"  2100 Ra-Shalom (1978 RA)"
20002101,"  2101 Adonis (1936 CA)"
20002102,"  2102 Tantalus (1975 YA)"
20002135,"  2135 Aristaeus (1977 HA)"
20002201,"  2201 Oljato (1947 XC)"
20002202,"  2202 Pele (1972 RA)"
20002212,"  2212 Hephaistos (1978 SB)"
20002329,"  2329 Orthos (1976 WA)"
20002340,"  2340 Hathor (1976 UA)"
20002368,"  2368 Beltrovata (1977 RA)"
20002608,"  2608 Seneca (1978 DA)"
20003102,"  3102 Krok (1981 QA)"
20003103,"  3103 Eger (1982 BB)"
20003122,"  3122 Florence (1981 ET3)"
20003199,"  3199 Nefertiti (1982 RA)"
20003200,"  3200 Phaethon (1983 TB)"
20003271,"  3271 Ul (1982 RB)"
20003288,"  3288 Seleucus (1982 DV)"
20003352,"  3352 McAuliffe (1981 CW)"
20003360,"  3360 Syrinx (1981 VA)"
20003361,"  3361 Orpheus (1982 HR)"
20003362,"  3362 Khufu (1984 QA)"
20003551,"  3551 Verenia (1983 RD)"
20003552,"  3552 Don Quixote (1983 SA)"
20003553,"  3553 Mera (1985 JA)"
20003554,"  3554 Amun (1986 EB)"
20003671,"  3671 Dionysus (1984 KD)"
20003691,"  3691 Bede (1982 FT)"
20003752,"  3752 Camillo (1985 PA)"
20003753,"  3753 Cruithne (1986 TO)"
20003757,"  3757 Anagolay (1982 XB)"
20003838,"  3838 Epona (1986 WA)"
20003908,"  3908 Nyx (1980 PA)"
20003988,"  3988 Huma (1986 LA)"
20004015,"  4015 Wilson-Harrington (1979 VA)"
20004034,"  4034 Vishnu (1986 PA)"
20004055,"  4055 Magellan (1985 DO2)"
20004179,"  4179 Toutatis (1989 AC)"
20004183,"  4183 Cuno (1959 LM)"
20004197,"  4197 Morpheus (1982 TA)"
20004257,"  4257 Ubasti (1987 QA)"
20004341,"  4341 Poseidon (1987 KF)"
20004401,"  4401 Aditi (1985 TB)"
20004450,"  4450 Pan (1987 SY)"
20004486,"  4486 Mithra (1987 SB)"
20004487,"  4487 Pocahontas (1987 UA)"
20004503,"  4503 Cleobulus (1989 WM)"
20004544,"  4544 Xanthus (1989 FB)"
20004581,"  4581 Asclepius (1989 FC)"
20004596,"  4596 (1981 QB)"
20004660,"  4660 Nereus (1982 DB)"
20004688,"  4688 (1980 WF)"
20004769,"  4769 Castalia (1989 PB)"
20004947,"  4947 Ninkasi (1988 TJ1)"
20004953,"  4953 (1990 MU)"
20004954,"  4954 Eric (1990 SQ)"
20004957,"  4957 Brucemurray (1990 XJ)"
20005011,"  5011 Ptah (6743 P-L)"
20005131,"  5131 (1990 BG)"
20005143,"  5143 Heracles (1991 VL)"
20005189,"  5189 (1990 UQ)"
20005324,"  5324 Lyapunov (1987 SL)"
20005332,"  5332 Davidaguilar (1990 DA)"
20005370,"  5370 Taranis (1986 RA)"
20005381,"  5381 Sekhmet (1991 JY)"
20005496,"  5496 (1973 NA)"
20005587,"  5587 (1990 SB)"
20005590,"  5590 (1990 VA)"
20005604,"  5604 (1992 FE)"
20005620,"  5620 Jasonwheeler (1990 OA)"
20005626,"  5626 Melissabrucker (1991 FE)"
20005645,"  5645 (1990 SP)"
20005646,"  5646 (1990 TR)"
20005653,"  5653 Camarillo (1992 WD5)"
20005660,"  5660 (1974 MA)"
20005693,"  5693 (1993 EA)"
20005731,"  5731 Zeus (1988 VP4)"
20005751,"  5751 Zao (1992 AC)"
20005786,"  5786 Talos (1991 RC)"
