spkid,full_name,pdes,neo,pha,H,Mass,G,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
20001566,  1566 Icarus (1949 MA),1566,Y,Y,16.53,1.361356817,,1,,0.51,2.2726,,0.774,0.52,,,,,,194,2025-11-21.0,J2000,0.827,1.078,0.186,22.8,87.95,31.44,153.08,1.97,0.8805,2460826.65,2025-05-31.1,409,1.12,0.0335,13,3.22,5.3,2.30E-09,1.30E-09,2.60E-09,5.90E-07,2.30E-07,3.50E-07,5.30E-06,2.40E-09,1.60E-09,5.70E-06,7.40E-07,APO,0,0.35997,,,,-3.70E-15,2.80E-16,,,,
20001620,  1620 Geographos (1951 RA),1620,Y,Y,15.27,22.83977736,,2.56,5.0x2.0x2.1,0.29,5.22204,,0.862,0.471,,S,S,,0.15,JPL 769,2025-11-21.0,J2000,0.3355,1.246,0.828,13.34,337.14,277.02,212.92,1.66,0.7088,2461208,2026-06-16.4,508,1.39,0.0294,11.4,3.45,5.07,9.20E-10,2.10E-10,1.20E-09,4.10E-08,2.00E-07,2.20E-07,4.80E-07,2.90E-10,1.80E-10,7.30E-07,1.30E-07,APO,0,0.29358,,,,-3.70E-15,2.40E-16,,,,
20001862,  1862 Apollo (1932 HA),1862,Y,Y,16.08,4.594579256,0.09,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,539,2025-11-21.0,J2000,0.5599,1.471,0.647,6.35,35.54,286.05,113.88,2.29,0.5525,2460794.37,2025-04-28.8,652,1.78,0.026,10.1,3.06,4.41,1.60E-09,2.00E-10,2.40E-09,7.50E-08,8.30E-07,6.80E-07,5.70E-07,3.00E-10,1.10E-10,1.00E-06,1.30E-07,APO,0,0.46242,,,,-3.70E-15,2.00E-16,,,,
20001981,  1981 Midas (1973 EA),1981,Y,Y,15.25,53.50676832,,3.4,,,5.22,,,,,V,,,,JPL 367,2025-11-21.0,J2000,0.6505,1.776,0.621,39.82,356.79,267.84,65.35,2.93,0.4163,2460843.54,2025-06-17.0,865,2.37,0.00277,1.08,3.31,3.61,7.70E-10,1.80E-09,1.10E-09,1.50E-07,1.30E-07,1.60E-07,1.80E-06,3.00E-09,6.30E-10,4.00E-06,1.30E-06,APO,0,0.38755,,,,,,,,,
20002101,  2101 Adonis (1936 CA),2101,Y,Y,18.69,0.294053072,,0.6,,,,,,,,,,,,52,2025-11-21.0,J2000,0.7641,1.874,0.442,1.32,349.41,43.71,24.48,3.31,0.3842,2460936.78,2025-09-18.2,937,2.57,0.0115,4.48,2.14,3.55,4.50E-08,1.00E-08,8.50E-08,6.90E-06,4.50E-04,4.50E-04,1.00E-05,1.80E-08,3.20E-09,2.60E-05,7.80E-06,APO,0,0.40116,,,,-3.30E-14,5.40E-15,,,,
20002102,  2102 Tantalus (1975 YA),2102,Y,Y,16,6.104272845,,1.649,,0.245,2.384,,,,,Q,,,0.04,JPL 261,2025-11-21.0,J2000,0.2994,1.29,0.904,64.01,94.35,61.5,347.36,1.68,0.6726,2461019.3,2025-12-09.7,535,1.47,0.0426,16.6,3.77,4.45,4.30E-10,2.50E-10,5.90E-10,8.90E-08,8.70E-08,1.20E-07,6.30E-07,3.20E-10,1.90E-10,9.50E-07,1.50E-07,APO,0,0.38805,,,,,,,,,
20002135,  2135 Aristaeus (1977 HA),2135,Y,Y,18.05,0,,,,,,,,,,,,,,24,2025-11-21.0,J2000,0.5031,1.6,0.795,23.07,191.11,290.98,37.18,2.4,0.4872,2460924.18,2025-09-05.6,739,2.02,0.00853,3.32,2.96,4.13,1.30E-06,7.50E-08,2.00E-06,5.10E-05,3.40E-04,1.60E-04,7.80E-04,1.10E-07,3.40E-08,1.60E-03,5.20E-05,APO,1,0.54865,,,,,,,,,
20002201,  2201 Oljato (1947 XC),2201,Y,Y,15.32,7.939432954,,1.8,,0.4328,26,,,,,Sq,,,0.1,JPL 352,2025-11-21.0,J2000,0.7107,2.179,0.63,2.52,74.86,98.37,97.01,3.73,0.3065,2460683.98,2025-01-08.4,1.17E+03,3.22,0.00278,1.08,1.25,3.3,3.00E-09,1.30E-09,6.60E-09,1.30E-07,4.80E-06,5.00E-06,8.90E-07,2.30E-09,2.80E-10,2.60E-06,1.10E-06,APO,0,0.47843,,,,,,,,,
20002340,  2340 Hathor (1976 UA),2340,Y,Y,20.43,0.036756634,,0.3,,,3.35,,0.77,0.5,,Sq,CSU,,,62,2025-11-21.0,J2000,0.4499,0.8439,0.464,5.86,211.28,40.12,201.98,1.22,1.271,2461124.78,2026-03-25.2,283,0.775,0.00663,2.58,3.81,6.88,3.60E-08,1.00E-09,3.10E-08,4.30E-06,1.40E-05,1.40E-05,7.20E-06,1.50E-09,2.30E-09,5.80E-06,5.00E-07,ATE,0,0.37471,,,,-3.00E-14,6.30E-16,,,,
20003122,  3122 Florence (1981 ET3),3122,Y,Y,14.08,160.1622681,,4.9,,0.231,2.3581,,,,,S,,,,JPL 984,2025-11-21.0,J2000,0.4232,1.769,1.02,22.14,336.04,27.88,168.26,2.52,0.4189,2460598.88,2024-10-15.3,859,2.35,0.0436,17,2.99,3.92,6.00E-10,4.40E-10,1.10E-09,5.30E-08,1.50E-07,1.70E-07,5.20E-07,6.30E-10,1.60E-10,1.10E-06,3.20E-07,AMO,0,0.28566,,,,,,,,,
